ts,p,r,s,q,n,x,y
0,true,true,false,true,false,true,true
1,false,false,false,false,false,false,true
2,false,false,true,false,false,false,true
3,false,true,false,false,false,false,true
4,false,false,false,false,false,false,true
5,false,false,false,false,false,false,true
6,false,false,true,false,false,false,true
7,false,true,false,true,false,false,true
8,false,false,false,false,false,false,false
9,true,false,false,false,false,false,false
10,false,false,true,false,false,false,false
11,false,true,false,false,true,false,true
12,false,false,false,false,true,false,false
13,false,false,false,false,true,true,true
14,false,false,false,true,false,false,true
15,true,false,true,false,false,false,true
16,false,true,false,false,false,false,true
17,true,false,false,false,false,false,true
18,false,false,false,false,true,false,true
19,false,false,true,false,true,false,true
20,false,true,false,false,false,false,false
21,false,false,false,true,false,false,false
22,false,false,false,false,false,false,false
23,false,false,true,false,false,false,true
24,false,true,false,false,false,false,true
25,false,false,false,false,false,false,false
26,true,false,true,false,false,true,true
27,false,true,false,false,false,false,true
28,false,false,false,true,false,false,true
29,false,false,false,false,false,false,true
30,false,false,true,false,false,false,true
31,false,true,false,false,false,false,true
32,false,false,false,false,false,false,true
33,false,false,true,false,false,false,false
34,true,true,false,false,true,false,true
35,false,false,false,true,false,false,true
36,false,false,true,false,false,false,true
37,false,true,false,false,false,false,false
38,false,false,false,false,false,false,false
39,true,false,false,false,false,true,true
40,false,false,true,false,true,false,true
41,true,true,false,false,true,false,true
42,false,false,false,true,false,false,true
43,false,false,false,false,false,false,true
44,false,false,false,false,false,false,true
45,false,false,true,false,false,false,true
46,true,true,false,false,false,false,false
47,false,false,false,false,true,false,true
48,false,false,false,false,true,false,true
49,true,false,false,true,false,false,false
50,false,false,true,false,false,false,true
51,false,true,false,false,false,false,true
52,false,false,false,false,false,true,true
53,false,false,false,false,false,false,true
54,false,false,true,false,true,false,true
55,false,true,false,false,true,false,true
56,false,false,false,true,false,false,true
57,true,false,true,false,false,false,true
58,false,true,false,false,false,false,true
59,false,false,false,false,false,false,true
60,false,false,false,false,false,false,true
61,false,false,true,false,false,false,true
62,false,true,false,false,false,false,false
63,false,false,false,true,false,false,true
64,false,false,true,false,false,false,true
65,false,true,false,false,false,true,true
66,false,false,false,false,false,false,true
67,true,false,true,false,false,false,true
68,false,true,false,false,true,false,true
69,false,false,false,false,false,false,true
70,false,false,true,true,false,false,true
71,false,true,false,false,false,false,true
72,true,false,false,false,false,false,true
73,false,false,false,false,false,false,true
74,false,false,false,false,false,false,false
75,false,false,true,false,false,false,true
76,false,true,false,false,true,false,false
77,false,false,false,true,false,false,true
78,false,false,true,false,false,true,true
79,false,true,false,false,false,false,true
