time,p,r,s,q,n,x,y
0,True,True,False,True,False,True,True
1,False,False,False,False,False,False,True
2,False,False,True,False,False,False,True
3,False,True,False,False,False,False,True
4,False,False,False,False,False,False,True
5,False,False,False,False,False,False,True
6,False,False,True,False,False,False,True
7,False,True,False,True,False,False,True
8,False,False,False,False,False,False,False
9,True,False,False,False,False,False,False
10,False,False,True,False,False,False,False
11,False,True,False,False,True,False,True
12,False,False,False,False,True,False,False
13,False,False,False,False,True,True,True
14,False,False,False,True,False,False,True
15,True,False,True,False,False,False,True
16,False,True,False,False,False,False,True
17,True,False,False,False,False,False,True
18,False,False,False,False,True,False,True
19,False,False,True,False,True,False,True
20,False,True,False,False,False,False,False
21,False,False,False,True,False,False,False
22,False,False,False,False,False,False,False
23,False,False,True,False,False,False,True
24,False,True,False,False,False,False,True
25,False,False,False,False,False,False,False
26,True,False,True,False,False,True,True
27,False,True,False,False,False,False,True
28,False,False,False,True,False,False,True
29,False,False,False,False,False,False,True
30,False,False,True,False,False,False,True
31,False,True,False,False,False,False,True
32,False,False,False,False,False,False,True
33,False,False,True,False,False,False,False
34,True,True,False,False,True,False,True
35,False,False,False,True,False,False,True
36,False,False,True,False,False,False,True
37,False,True,False,False,False,False,False
38,False,False,False,False,False,False,False
39,True,False,False,False,False,True,True
40,False,False,True,False,True,False,True
41,True,True,False,False,True,False,True
42,False,False,False,True,False,False,True
43,False,False,False,False,False,False,True
44,False,False,False,False,False,False,True
45,False,False,True,False,False,False,True
46,True,True,False,False,False,False,False
47,False,False,False,False,True,False,True
48,False,False,False,False,True,False,True
49,True,False,False,True,False,False,False
50,False,False,True,False,False,False,True
51,False,True,False,False,False,False,True
52,False,False,False,False,False,True,True
53,False,False,False,False,False,False,True
54,False,False,True,False,True,False,True
55,False,True,False,False,True,False,True
56,False,False,False,True,False,False,True
57,True,False,True,False,False,False,True
58,False,True,False,False,False,False,True
59,False,False,False,False,False,False,True
60,False,False,False,False,False,False,True
61,False,False,True,False,False,False,True
62,False,True,False,False,False,False,False
63,False,False,False,True,False,False,True
64,False,False,True,False,False,False,True
65,False,True,False,False,False,True,True
66,False,False,False,False,False,False,True
67,True,False,True,False,False,False,True
68,False,True,False,False,True,False,True
69,False,False,False,False,False,False,True
70,False,False,True,True,False,False,True
71,False,True,False,False,False,False,True
72,True,False,False,False,False,False,True
73,False,False,False,False,False,False,True
74,False,False,False,False,False,False,False
75,False,False,True,False,False,False,True
76,False,True,False,False,True,False,False
77,False,False,False,True,False,False,True
78,False,False,True,False,False,True,True
79,False,True,False,False,False,False,True
