ts,p,r,s
0,,false,false
1,,false,false
2,,true,true
3,,false,true
4,,false,true
5,,false,false
6,,false,false
7,,false,false
8,,false,false
9,,false,false
10,,true,true
11,,false,true
12,,false,true
13,,false,false
14,,false,false
15,,false,false
16,,false,false
17,,false,false
18,,false,false
19,,false,false
20,,false,false
21,,false,false
22,,false,false
23,,false,false
24,,false,false
25,,false,false
26,,false,false
27,,false,false
28,,true,true
29,,false,true
30,,false,true
31,,false,false
32,,false,false
33,,false,false
34,,false,false
35,,false,false
36,,true,true
37,,false,true
38,,false,true
39,,false,false
40,,false,false
41,,false,false
42,,false,false
43,,false,false
44,,false,false
45,,false,false
46,,false,false
47,,false,false
48,,false,false
49,,false,false
50,,false,false
51,,false,false
52,,false,false
53,,false,false
54,,true,true
55,,false,true
56,,false,true
57,,false,false
58,,false,false
59,,false,false
60,,false,false
61,,false,false
62,,false,false
63,,false,false
64,,false,false
65,,false,false
66,,false,false
67,,false,false
68,,false,false
69,,false,false
70,,false,false
71,,false,false
72,,true,true
73,,false,true
74,,false,true
75,,false,false
76,,false,false
77,,false,false
78,,false,false
79,,false,false
80,,false,false
81,,false,false
82,,false,false
83,,false,false
84,,false,false
85,,false,false
86,,false,false
87,,false,false
88,,false,false
89,,false,false
90,,false,false
91,,true,false
92,,false,false
93,,false,false
94,,false,false
95,,false,false
96,,false,false
97,,false,true
98,,false,true
99,,false,true
100,,false,false
101,,false,false
102,,false,false
103,,false,false
104,,false,false
105,,false,false
106,,false,false
107,,false,false
108,,false,false
109,,false,false
110,,false,false
111,,false,false
112,,false,false
113,,true,false
114,,false,false
115,,false,false
116,,false,false
117,,false,false
118,,false,false
119,,false,false
120,,false,false
121,,false,false
122,,false,false
123,,false,false
124,,true,true
125,,false,true
126,,false,true
127,,false,false
128,,false,false
129,,false,false
130,,false,false
131,,false,false
132,,false,false
133,,false,false
134,,false,false
135,,false,false
136,,true,true
137,,false,true
138,,false,true
139,,false,false
140,,false,false
141,,false,false
142,,false,false
143,,false,false
144,,false,false
145,,false,false
146,,false,false
147,,true,true
148,,false,true
149,,false,true
150,,false,false
151,,false,false
152,,false,false
153,,false,false
154,,false,false
155,,true,true
156,,false,true
157,,false,true
158,,false,false
159,,false,false
160,,false,false
161,,false,false
162,,false,false
163,,false,false
164,,true,true
165,,false,true
166,,false,true
167,,false,false
168,,false,false
169,,false,false
170,,false,false
171,,false,false
172,,false,false
173,,false,false
174,,false,false
175,,false,false
176,,false,false
177,,false,false
178,,false,false
179,,false,false
180,,false,false
181,,false,false
182,,false,false
183,,true,true
184,,false,true
185,,false,true
186,,false,false
187,,false,false
188,,false,false
189,,true,true
190,,false,true
191,,false,true
192,,false,false
193,,false,false
194,,false,false
195,,false,false
196,,true,true
197,,false,true
198,,false,true
199,,false,false
200,,false,false
201,,false,false
202,,false,false
203,,false,false
204,,false,false
205,,true,true
206,,false,true
207,,false,true
208,,false,false
209,,false,false
210,,false,false
211,,false,false
212,,false,false
213,,false,false
214,,false,false
215,,false,false
216,,false,false
217,,false,false
218,,true,true
219,,false,true
220,,false,true
221,,false,false
222,,false,false
223,,false,false
224,,false,false
225,,false,false
226,,false,false
227,,false,false
228,,false,false
229,,false,false
230,,false,false
231,,false,false
232,,false,false
233,,true,true
234,,false,true
235,,false,true
236,,false,false
237,,false,false
238,,false,false
239,,false,false
240,,false,false
241,,false,false
242,,false,false
243,,false,false
244,,false,false
245,,false,false
246,,false,false
247,,true,true
248,,false,true
249,,false,true
250,,false,false
251,,false,false
252,,false,false
253,,false,false
254,,true,true
255,,false,true
256,,false,true
257,,false,false
258,,false,false
259,,false,false
260,,false,false
261,,false,false
262,,false,false
263,,false,false
264,,false,false
265,,false,false
266,,false,false
267,,false,false
268,,false,false
269,,true,true
270,,false,true
271,,false,true
272,,false,false
273,,false,false
274,,false,false
275,,false,false
276,,false,false
277,,false,false
278,,false,false
279,,false,false
280,,false,false
281,,false,false
282,,false,false
283,,false,false
284,,false,false
285,,false,false
286,,false,false
287,,false,false
288,,false,false
289,,true,true
290,,false,true
291,,false,true
292,,false,false
293,,false,false
294,,false,false
295,,false,false
296,,false,false
297,,false,false
298,,false,false
299,,false,false
300,,false,false
301,,false,false
302,,false,true
303,,true,true
304,,false,true
305,,false,true
306,,false,false
307,,false,false
308,,false,false
309,,false,false
310,,false,false
311,,false,false
312,,true,true
313,,false,true
314,,false,true
315,,false,false
316,,false,false
317,,true,true
318,,false,true
319,,false,true
320,,false,false
321,,false,false
322,,false,false
323,,false,false
324,,false,false
325,,false,false
326,,false,false
327,,false,false
328,,false,false
329,,false,false
330,,false,false
331,,true,true
332,,false,true
333,,false,true
334,,false,false
335,,false,false
336,,false,false
337,,false,false
338,,false,false
339,,false,false
340,,false,false
341,,false,false
342,,true,true
343,,false,true
344,,false,true
345,,false,false
346,,false,false
347,,true,true
348,,false,true
349,,false,true
350,,false,false
351,,false,false
352,,false,false
353,,true,true
354,,false,true
355,,false,true
356,,false,false
357,,false,false
358,,true,true
359,,false,true
360,,false,true
361,,false,false
362,,false,false
363,,false,false
364,,false,false
365,,true,true
366,,false,true
367,,false,true
368,,false,false
369,,false,false
370,,false,false
371,,false,false
372,,false,false
373,,false,false
