ts,p,r,s
0,true,false,false
1,false,false,false
2,false,true,true
3,false,false,true
4,false,false,true
5,,,
6,,,
7,,,
8,,,
9,,,
10,false,true,true
11,false,false,true
12,false,false,true
13,false,false,false
14,false,false,false
15,,,
16,,,
17,,,
18,,,
19,,,
20,false,false,false
21,false,false,false
22,false,false,false
23,false,false,false
24,false,false,false
25,,,
26,,,
27,,,
28,,,
29,,,
30,false,false,true
31,false,false,false
32,false,false,false
33,false,false,false
34,true,false,false
35,,,
36,,,
37,,,
38,,,
39,,,
40,false,false,false
41,false,false,false
42,false,false,false
43,false,false,false
44,false,false,false
45,,,
46,,,
47,,,
48,,,
49,,,
50,false,false,false
51,true,false,false
52,false,false,false
53,false,false,false
54,false,true,true
55,,,
56,,,
57,,,
58,,,
59,,,
60,false,false,false
61,false,false,false
62,false,false,false
63,false,false,false
64,false,false,false
65,,,
66,,,
67,,,
68,,,
69,,,
70,true,false,false
71,false,false,false
72,false,true,true
73,false,false,true
74,false,false,true
75,,,
76,,,
77,,,
78,,,
79,,,
80,false,false,false
81,false,false,false
82,false,false,false
83,false,false,false
84,false,false,false
85,,,
86,,,
87,,,
88,,,
89,,,
90,false,false,false
91,false,true,false
92,false,false,false
93,false,false,false
94,false,false,false
95,,,
96,,,
97,,,
98,,,
99,,,
100,false,false,false
101,false,false,false
102,false,false,false
103,false,false,false
104,false,false,false
105,,,
106,,,
107,,,
108,,,
109,,,
110,false,false,false
111,true,false,false
112,false,false,false
113,false,true,false
114,false,false,false
115,,,
116,,,
117,,,
118,,,
119,,,
120,false,false,false
121,false,false,false
122,true,false,false
123,false,false,false
124,false,true,true
125,,,
126,,,
127,,,
128,,,
129,,,
130,false,false,false
131,false,false,false
132,false,false,false
133,true,false,false
134,false,false,false
135,,,
136,,,
137,,,
138,,,
139,,,
140,false,false,false
141,false,false,false
142,false,false,false
143,false,false,false
144,false,false,false
145,,,
146,,,
147,,,
148,,,
149,,,
150,false,false,false
151,false,false,false
152,true,false,false
153,false,false,false
154,false,false,false
155,,,
156,,,
157,,,
158,,,
159,,,
160,false,false,false
161,false,false,false
162,false,false,false
163,true,false,false
164,false,true,true
165,,,
166,,,
167,,,
168,,,
169,,,
170,false,false,false
171,false,false,false
172,false,false,false
173,false,false,false
174,false,false,false
175,,,
176,,,
177,,,
178,,,
179,,,
180,false,false,false
181,true,false,false
182,false,false,false
183,false,true,true
184,false,false,true
185,,,
186,,,
187,,,
188,,,
189,,,
190,false,false,true
191,false,false,true
192,false,false,false
193,false,false,false
194,false,false,false
195,,,
196,,,
197,,,
198,,,
199,,,
200,false,false,false
201,false,false,false
202,true,false,false
203,false,false,false
204,false,false,false
205,,,
206,,,
207,,,
208,,,
209,,,
210,false,false,false
211,false,false,false
212,false,false,false
213,false,false,false
214,false,false,false
215,,,
216,,,
217,,,
218,,,
219,,,
220,false,false,true
221,false,false,false
222,false,false,false
223,false,false,false
224,false,false,false
225,,,
226,,,
227,,,
228,,,
229,,,
230,true,false,false
231,false,false,false
232,false,false,false
233,false,true,true
234,false,false,true
235,,,
236,,,
237,,,
238,,,
239,,,
240,false,false,false
241,false,false,false
242,false,false,false
243,false,false,false
244,true,false,false
245,,,
246,,,
247,,,
248,,,
249,,,
250,false,false,false
251,true,false,false
252,false,false,false
253,false,false,false
254,false,true,true
255,,,
256,,,
257,,,
258,,,
259,,,
260,false,false,false
261,false,false,false
262,false,false,false
263,false,false,false
264,false,false,false
265,,,
266,,,
267,,,
